"","project","cell_specimen_id","cell_specimen_name","hemisphere","structure","donor_id","donor_name","biological_sex","age","ethnicity","medical_conditions","full_genotype","dendrite_type","apical_dendrite_status","neuron_reconstruction_type","cell_soma_normalized_depth","depth_from_pia_um","ephys_session_id","transcriptomics_sample_id","transcriptomics_batch","corresponding_AIT2.3.1_ID","corresponding_AIT2.3.1_alias","subclass"
"2455","mIVSCC-MET",754748254,"Sst-IRES-Cre;Ai14-414132.04.01.04","left","VISp6a",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754747987,"SM.GE8XF_S072_E1.50","RSC-178","CS180626100051","Pvalb Gabrg1","Pvalb"
"2456","mIVSCC-MET",754753909,"Sst-IRES-Cre;Ai167-415615.03.01.01","left","VISp5",415615,"Sst-IRES-Cre;Ai167-415615","M","P46",NA,NA,"Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt","aspiny",NA,"",NA,NA,754753737,"SM.GE5VR_S104_E1.50","RSC-179","CS180626100037","Sst Myh8 Etv1 ","Sst"
"2457","mIVSCC-MET",754759234,"Sst-IRES-Cre;Ai167-415615.03.02.01","right","VISp2/3",415615,"Sst-IRES-Cre;Ai167-415615","M","P46",NA,NA,"Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt","aspiny",NA,"",NA,NA,754759153,"SM.GE5VR_S106_E1.50","RSC-179","CS180626100035","Sst Calb2 Pdlim5","Sst"
"2458","mIVSCC-MET",754769413,"Sst-IRES-Cre;Ai14-414132.05.01.01","left","VISl6a",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754769357,"SM.GE8XF_S088_E1.50","RSC-178","CS180626100052","Pvalb Th Sst","Pvalb"
"2459","mIVSCC-MET",754777509,"Sst-IRES-Cre;Ai14-414132.03.01.02","left","VISp2/3",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754777403,"SM.GE5VR_S098_E1.50","RSC-179","CS180626100035","Sst Calb2 Pdlim5","Sst"
"2460","mIVSCC-MET",754781874,"Sst-IRES-Cre;Ai167-415615.03.01.02","left","VISp2/3",415615,"Sst-IRES-Cre;Ai167-415615","M","P46",NA,NA,"Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt","aspiny",NA,"",NA,NA,754781722,"SM.GE5VR_S105_E1.50","RSC-179","CS180626100033","Sst Tac1 Tacr3","Sst"
"2461","mIVSCC-MET",754795653,"Sst-IRES-Cre;Ai14-414132.05.01.02","left","VISp4",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754795458,"SM.GE8XF_S089_E1.50","RSC-178","CS180626100043","Sst Hpse Cbln4","Sst"
"2462","mIVSCC-MET",754804871,"Sst-IRES-Cre;Ai167-415615.04.01.02","left","VISp5",415615,"Sst-IRES-Cre;Ai167-415615","M","P46",NA,NA,"Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt","aspiny",NA,"",NA,NA,754804720,"SM.GE5VR_S103_E1.50","RSC-179","CS180626100057","Pvalb Reln Tac1","Pvalb"
"2463","mIVSCC-MET",754804972,"Sst-IRES-Cre;Ai14-414132.05.01.03","left","VISp5",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754804910,"SM.GE8XF_S090_E1.50","RSC-178","CS180626100043","Sst Hpse Cbln4","Sst"
"2464","mIVSCC-MET",754807659,"Sst-IRES-Cre;Ai14-414132.03.01.03","left","VISp6a",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754807591,"SM.GE5VR_S099_E1.50","RSC-179","CS180626100044","Sst Crhr2 Efemp1","Sst"
